source_ip,destination_ip
167.99.166.49,172.31.88.57
167.99.170.172,172.31.88.57
200.153.11.82,172.31.88.57
111.227.172.86,172.31.88.57
94.181.181.24,172.31.88.57
167.172.216.119,172.31.88.57
209.17.97.106,172.31.88.57
185.143.221.186,172.31.88.57
42.113.244.245,172.31.88.57
209.17.96.34,172.31.88.57
185.143.221.7,172.31.88.57
187.21.142.38,172.31.88.57
171.5.26.86,172.31.88.57
167.172.216.119,172.31.88.57
45.136.109.87,172.31.88.57
159.203.81.129,172.31.88.57
185.176.27.18,172.31.88.57
167.99.162.116,172.31.88.57
185.143.223.148,172.31.88.57
202.29.57.103,172.31.88.57
185.176.27.2,172.31.88.57
167.99.170.76,172.31.88.57
167.99.170.122,172.31.88.57
202.107.227.42,172.31.88.57
167.99.170.172,172.31.88.57
45.136.109.95,172.31.88.57
45.141.86.126,172.31.88.57
45.141.86.126,172.31.88.57
209.17.96.90,172.31.88.57
209.17.96.194,172.31.88.57
105.159.134.219,172.31.88.57
167.99.166.148,172.31.88.57
209.17.97.122,172.31.88.57
78.128.112.114,172.31.88.57
167.172.216.119,172.31.88.57
49.235.45.220,172.31.88.57
185.175.93.78,172.31.88.57
159.203.81.129,172.31.88.57
209.17.97.122,172.31.88.57
209.17.97.122,172.31.88.57
209.17.97.122,172.31.88.57
167.99.170.76,172.31.88.57
81.22.45.150,172.31.88.57
167.172.216.119,172.31.88.57
185.143.223.147,172.31.88.57
167.99.162.116,172.31.88.57
167.99.162.99,172.31.88.57
167.99.170.172,172.31.88.57
177.38.180.72,172.31.88.57
185.142.236.35,172.31.88.57
171.244.175.136,172.31.88.57
171.244.175.136,172.31.88.57
178.128.114.248,172.31.88.57
131.108.91.175,172.31.88.57
24.189.193.129,172.31.88.57
202.152.24.234,172.31.88.57
167.99.166.217,172.31.88.57
222.214.186.227,172.31.88.57
185.152.180.198,172.31.88.57
185.152.180.198,172.31.88.57
171.229.239.49,172.31.88.57
159.203.81.129,172.31.88.57
167.99.170.76,172.31.88.57
45.136.109.221,172.31.88.57
167.99.170.122,172.31.88.57
185.209.0.91,172.31.88.57
185.143.221.186,172.31.88.57
210.66.73.157,172.31.88.57
92.53.65.40,172.31.88.57
120.224.7.22,172.31.88.57
120.224.7.22,172.31.88.57
167.99.162.116,172.31.88.57
167.172.216.119,172.31.88.57
49.51.12.205,172.31.88.57
51.91.212.81,172.31.88.57
167.99.166.217,172.31.88.57
92.53.90.132,172.31.88.57
167.99.170.172,172.31.88.57
139.162.118.251,172.31.88.57
94.102.56.181,172.31.88.57
71.6.233.180,172.31.88.57
185.175.93.78,172.31.88.57
94.255.247.17,172.31.88.57
159.203.193.252,172.31.88.57
167.99.170.122,172.31.88.57
190.201.120.49,172.31.88.57
223.71.167.61,172.31.88.57
223.71.167.61,172.31.88.57
106.13.101.115,172.31.88.57
5.202.3.52,172.31.88.57
167.99.170.76,172.31.88.57
170.0.171.66,172.31.88.57
167.99.166.217,172.31.88.57
139.162.84.112,172.31.88.57
78.128.112.114,172.31.88.57
51.83.69.99,172.31.88.57
89.248.172.85,172.31.88.57
179.127.53.87,172.31.88.57
187.217.176.114,172.31.88.57
187.217.176.114,172.31.88.57
78.106.28.116,172.31.88.57
185.209.0.32,172.31.88.57
177.126.137.109,172.31.88.57
177.126.137.109,172.31.88.57
185.176.27.54,172.31.88.57
168.194.58.153,172.31.88.57
59.63.199.171,172.31.88.57
167.172.216.119,172.31.88.57
167.99.162.99,172.31.88.57
209.17.96.178,172.31.88.57
209.17.96.178,172.31.88.57
54.187.177.169,172.31.88.57
167.99.162.116,172.31.88.57
209.17.97.26,172.31.88.57
106.54.194.202,172.31.88.57
54.187.177.169,172.31.88.57
185.216.140.252,172.31.88.57
185.216.140.6,172.31.88.57
14.207.78.18,172.31.88.57
167.99.170.76,172.31.88.57
60.248.155.176,172.31.88.57
60.248.155.176,172.31.88.57
167.99.170.122,172.31.88.57
54.187.177.169,172.31.88.57
185.216.140.6,172.31.88.57
167.172.199.139,172.31.88.57
167.99.170.172,172.31.88.57
178.79.185.148,172.31.88.57
51.161.12.231,172.31.88.57
185.176.27.14,172.31.88.57
185.216.140.6,172.31.88.57
185.143.223.148,172.31.88.57
185.176.27.246,172.31.88.57
223.71.167.154,172.31.88.57
223.71.167.154,172.31.88.57
185.216.140.6,172.31.88.57
167.99.161.116,172.31.88.57
54.187.177.169,172.31.88.57
82.149.194.134,172.31.88.57
89.248.172.85,172.31.88.57
185.216.140.6,172.31.88.57
198.108.67.42,172.31.88.57
185.200.118.85,172.31.88.57
196.202.106.46,172.31.88.57
196.202.106.46,172.31.88.57
167.99.170.76,172.31.88.57
54.187.177.169,172.31.88.57
209.17.96.194,172.31.88.57
209.17.96.194,172.31.88.57
36.237.142.245,172.31.88.57
185.216.140.6,172.31.88.57
185.216.140.6,172.31.88.57
185.216.140.6,172.31.88.57
185.143.223.148,172.31.88.57
159.203.81.129,172.31.88.57
192.99.10.122,172.31.88.57
167.99.162.116,172.31.88.57
39.99.145.113,172.31.88.57
185.216.140.6,172.31.88.57
167.172.216.119,172.31.88.57
92.118.37.83,172.31.88.57
167.99.166.217,172.31.88.57
209.17.97.114,172.31.88.57
185.175.93.105,172.31.88.57
14.253.181.6,172.31.88.57
14.253.181.6,172.31.88.57
51.75.28.70,172.31.88.57
167.99.161.116,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
185.216.140.6,172.31.88.57
185.216.140.6,172.31.88.57
167.99.162.99,172.31.88.57
167.99.170.122,172.31.88.57
167.172.216.119,172.31.88.57
213.55.95.238,172.31.88.57
213.55.95.238,172.31.88.57
185.216.140.6,172.31.88.57
81.22.45.85,172.31.88.57
223.13.104.125,172.31.88.57
81.22.45.150,172.31.88.57
79.124.62.25,172.31.88.57
185.216.140.6,172.31.88.57
196.189.64.21,172.31.88.57
167.99.166.49,172.31.88.57
51.91.212.81,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
44.224.22.196,172.31.88.57
185.216.140.6,172.31.88.57
167.99.166.217,172.31.88.57
198.108.66.190,172.31.88.57
205.185.127.36,172.31.88.57
36.82.96.156,172.31.88.57
122.228.19.80,172.31.88.57
223.71.167.154,172.31.88.57
223.71.167.154,172.31.88.57
185.143.223.147,172.31.88.57
167.99.162.116,172.31.88.57
114.233.196.23,172.31.88.57
185.216.140.6,172.31.88.57
104.248.37.88,172.31.88.57
198.108.66.90,172.31.88.57
167.99.161.116,172.31.88.57
177.223.105.241,172.31.88.57
209.17.97.42,172.31.88.57
185.216.140.6,172.31.88.57
167.99.170.76,172.31.88.57
209.17.96.26,172.31.88.57
45.79.110.218,172.31.88.57
209.17.96.218,172.31.88.57
209.17.96.218,172.31.88.57
209.17.97.74,172.31.88.57
209.17.97.74,172.31.88.57
170.254.26.42,172.31.88.57
170.254.26.42,172.31.88.57
167.99.170.122,172.31.88.57
185.216.140.6,172.31.88.57
185.216.140.6,172.31.88.57
208.100.26.228,172.31.88.57
36.77.93.81,172.31.88.57
36.77.93.81,172.31.88.57
185.175.93.101,172.31.88.57
167.99.166.217,172.31.88.57
80.82.70.239,172.31.88.57
104.206.128.58,172.31.88.57
104.206.128.58,172.31.88.57
167.99.170.172,172.31.88.57
185.216.140.6,172.31.88.57
118.173.238.124,172.31.88.57
167.99.166.148,172.31.88.57
51.81.3.128,172.31.88.57
61.135.215.232,172.31.88.57
185.216.140.6,172.31.88.57
173.239.232.101,172.31.88.57
173.239.232.101,172.31.88.57
209.17.97.66,172.31.88.57
209.17.97.66,172.31.88.57
173.239.232.101,172.31.88.57
173.239.232.101,172.31.88.57
173.239.232.101,172.31.88.57
167.99.170.76,172.31.88.57
110.138.120.118,172.31.88.57
110.138.120.118,172.31.88.57
51.91.212.81,172.31.88.57
173.239.232.101,172.31.88.57
173.239.232.101,172.31.88.57
173.239.232.101,172.31.88.57
173.239.232.101,172.31.88.57
192.51.188.106,172.31.88.57
106.12.152.194,172.31.88.57
167.99.161.116,172.31.88.57
124.156.240.215,172.31.88.57
222.255.156.26,172.31.88.57
185.216.140.6,172.31.88.57
113.179.215.18,172.31.88.57
113.179.215.18,172.31.88.57
173.239.232.101,172.31.88.57
173.239.232.101,172.31.88.57
173.239.232.101,172.31.88.57
173.239.232.101,172.31.88.57
185.216.140.6,172.31.88.57
